Year,Case Vehicle ID,Vehicle Body Type,Registration Class,Action Prior to Accident,Type / Axles of Truck or Bus,Direction of Travel,Fuel Type,Vehicle Year,State of Registration,Number of Occupants,Engine Cylinders,Vehicle Make,Contributing Factor 1,Contributing Factor 1 Description,Contributing Factor 2,Contributing Factor 2 Description,Event Type,Partial VIN
2016,13366188,SUBURBAN,PASSENGER OR SUBURBAN,Going Straight Ahead,Not Entered,West,Gas,2012,NY,1,4,VOLKS,ENVMT,Animal's Action,HUMAN,Not Applicable,Not Applicable,WVGBV7AX1CW084003
2016,13366189,4 DOOR SEDAN,PASSENGER OR SUBURBAN,Going Straight Ahead,Not Entered,South,Gas,2004,NY,1,4,HONDA,ENVMT,Animal's Action,HUMAN,Not Applicable,Not Applicable,JHMES95654S001140
2016,13366195,4 DOOR SEDAN,PASSENGER OR SUBURBAN,Changing Lanes,Not Entered,West,Gas,2009,NY,4,4,TOYOT,HUMAN,Unsafe Speed,ENVMT,Pavement Slippery,Not Applicable,2T1BU40E19C122238
2016,13366196,SUBURBAN,PASSENGER OR SUBURBAN,Going Straight Ahead,Not Entered,South,Gas,2007,NY,1,6,CHEVR,HUMAN,Not Applicable,ENVMT,Animal's Action,Not Applicable,1GNDT13S472249158
2016,13366197,4 DOOR SEDAN,PASSENGER OR SUBURBAN,Going Straight Ahead,Not Entered,Southeast,Gas,2000,NY,3,4,DODGE,HUMAN,Unsafe Speed,ENVMT,Pavement Slippery,Not Applicable,1B3ES46C6YD717601
2016,13366200,SUBURBAN,PASSENGER OR SUBURBAN,Going Straight Ahead,Not Entered,East,Gas,2012,NY,5,6,DODGE,HUMAN,Not Applicable,HUMAN,Not Applicable,Not Applicable,2C4RDGDG9CR408521
2016,13366201,4 DOOR SEDAN,PASSENGER OR SUBURBAN,Making Left Turn,Not Entered,East,Gas,2001,NY,1,8,CADIL,HUMAN,Unsafe Lane Changing,HUMAN,Not Applicable,Not Applicable,1G6KF57971U199974
2016,13366204,SUBURBAN,PASSENGER OR SUBURBAN,Going Straight Ahead,Not Entered,West,Gas,2015,NY,1,4,KIA,ENVMT,Animal's Action,HUMAN,Not Applicable,Not Applicable,KNDPBCACXF7743607
2016,13366767,4 DOOR SEDAN,PASSENGER OR SUBURBAN,Parked,Not Entered,North,Gas,2002,NY,0,4,HONDA,HUMAN,Not Applicable,HUMAN,Not Applicable,,2HGES16552H514631
2016,13366772,4 DOOR SEDAN,PASSENGER OR SUBURBAN,Going Straight Ahead,Not Entered,West,Gas,2006,NY,1,4,TOYOT,HUMAN,Unsafe Speed,HUMAN,Not Applicable,"Tree, Collision With Fixed Object",2T1BR32E86C562218
